"id_discente","discente_matricula","sexo","ano_nascimento","raca","ano_ingresso","periodo_ingresso","pais","curso","nivel","modalidade","estado","polo","forma_ingresso","programa_cota","discente_situacao","periodo_atual","data_colacao_grau"
"aa02518b11e704c0fadc91e14cba4f46"," 2017208***","M","1991","Negra","2017","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","VESTIBULAR","Não aplicavel","ATIVO","7",""
"aa28c3482194fe046fd39d73864e0153"," 2015200***","M","1984","Parda","2015","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","São Francisco do Conde","VESTIBULAR","Ampla Concorrência","ATIVO","11",""
"aa41f45dec6abd4c6c1a75f69695e9cb"," 2017100***","M","1992","Não declarada","2017","1","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","SiSU","NENHUM","ATIVO","8",""
"ab3dca2b29f2fedb2c5139d3b5389ce4"," 2017206***","F","1973","Parda","2017","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","VESTIBULAR","Ampla Concorrência","ATIVO","7",""
"acf9c8e832346b02b62666ef22221dbb"," 2017101***","F","1994","Parda","2017","1","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","SiSU","ESCOLA PÚBLICA","ATIVO","8",""
"af42a60a77342782ee0c997761442b20"," 2015201***","M","1985","Parda","2015","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Redenção","VESTIBULAR","NENHUM","ATIVO","11",""
"b1302cce2ab9faf3b5b98db55ba4b05c"," 2015201***","F","1974","Parda","2015","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Limoeiro do Norte","VESTIBULAR","NENHUM","ATIVO","11",""
"b275ec2b2d67542af67156a70509a116"," 2017206***","F","1976","Negra","2017","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","VESTIBULAR","Ampla Concorrência","ATIVO","6",""
"b49b3fefb2cc54e811a703d3e4c248a0"," 2015200***","F","1993","Branca","2015","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Redenção","VESTIBULAR","ESCOLA PÚBLICA","ATIVO","11",""
"b4fda91405e52d19d7144cefa5aeb4a0"," 2017101***","M","1989","Negra","2017","1","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","SiSU","NENHUM","ATIVO","8",""
"b66a5676d48658bce85dd966f398f454"," 2017206***","F","1986","Parda","2017","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","VESTIBULAR","Ampla Concorrência","ATIVO","7",""
"b87f1ead385f557d504a4d2a0e403dfd"," 2017208***","F","1987","Parda","2017","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","VESTIBULAR","Não aplicavel","ATIVO","7",""
"b89fe7fe7ad17f613ff1cb17ee748ac3"," 2015200***","M","1991","Branca","2015","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Redenção","VESTIBULAR","NENHUM","ATIVO","11",""
"bb8a5f76f28374da33395444ed91391b"," 2017206***","M","1972","Negra","2017","2","Brasil","ADMINISTRAÇÃO PÚBLICA","G","A Distância","Ceará","Aracati","VESTIBULAR","Ampla Concorrência","ATIVO","7",""
